x,y
8,6
85,6
168,7
244,8
337,7
424,14
501,14
576,3
651,7
290,68
699,69
21,82
108,78
193,79
369,82
515,90
597,85
221,149
310,143
426,145
656,143
19,161
97,159
563,153
159,215
340,213
593,222
668,219
38,235
235,236
512,250
401,272
145,293
639,290
23,310
266,306
697,338
87,351
206,357
324,355
440,353
539,358
7,384
626,380
133,418
263,415
368,417
487,416
697,431
562,444
