x,y
3,10
84,6
177,4
266,5
352,7
428,6
509,5
588,6
664,10
128,69
219,70
5,85
311,81
386,82
475,85
561,86
697,81
81,128
171,135
626,128
10,160
298,160
399,158
504,163
696,177
574,192
86,203
203,204
349,220
9,241
640,234
516,250
144,277
397,280
68,294
230,293
689,295
310,325
5,338
454,353
91,368
206,368
533,367
368,383
608,383
698,376
25,412
282,417
143,429
422,442
500,440
655,443
